sample	method	sites	sites_snp	errors	errors_snp	missing	missing_snp	success %	success % snp	haplotypes	haplotypes_single	haplotypes_size_med
1000239	HapCUT2	5283	4627	83	57	305	209	92.7	95.0	131	37	444
1000569	HapCUT2	5698	5067	67	45	180	141	95.7	96.7	109	24	622
1000151	HapCUT2	4986	4322	184	138	280	184	90.7	93.5	95	31	454
1000513	HapCUT2	6399	5694	26	9	222	164	96.1	97.3	86	25	668.5
1000068	HapCUT2	5734	5100	54	36	248	183	94.7	96.2	97	29	496
1000804	HapCUT2	7519	6644	252	191	252	190	93.3	94.9	91	19	894
1000376	HapCUT2	6768	5921	168	128	313	217	92.9	94.9	113	26	454
1000624	HapCUT2	4618	4083	95	69	205	135	93.5	95.6	77	19	825
1000352	HapCUT2	4564	4139	32	24	84	67	97.5	98.0	41	11	324
1000702	HapCUT2	5239	4644	204	161	162	112	93.0	94.8	73	10	948
1000575	HapCUT2	5195	4610	56	38	176	119	95.5	97.0	67	18	680
1000440	HapCUT2	7524	6662	22	9	115	87	98.2	98.7	65	23	363
1000499	HapCUT2	6156	5465	231	178	221	150	92.7	94.7	75	24	1062
1000161	HapCUT2	8141	7256	82	56	195	152	96.6	97.4	116	28	579.5
1001018	HapCUT2	4527	3972	38	30	259	202	93.4	94.9	118	35	550.0
1000870	HapCUT2	5132	4504	81	57	211	161	94.3	95.8	77	26	513
1000016	HapCUT2	3053	2717	34	18	168	133	93.4	95.1	87	22	565
1000691	HapCUT2	6736	6017	10	4	107	82	98.3	98.7	56	12	1043.0
1000760	HapCUT2	1519	1369	5	1	119	95	91.8	93.7	62	20	526.5
1000802	HapCUT2	4156	3607	84	45	242	179	92.2	94.6	104	29	377.0
1000669	HapCUT2	5474	4735	174	125	334	227	90.7	93.6	111	26	456
1000910	HapCUT2	4540	4004	20	14	133	100	96.6	97.5	84	11	855.5
1000599	HapCUT2	5764	5060	63	31	268	175	94.3	96.4	98	30	310.5
1000564	HapCUT2	6393	5631	55	28	254	161	95.2	97.0	91	23	499
1000985	HapCUT2	3909	3376	73	46	261	186	91.5	94.1	92	28	486.0
1000092	HapCUT2	4619	4120	36	27	151	105	96.0	97.1	63	17	646
1000605	HapCUT2	4101	3645	58	42	187	130	94.0	95.8	80	19	651.0
1000388	HapCUT2	4396	3945	11	4	110	92	97.2	97.8	69	13	1110
1000323	HapCUT2	5252	4602	66	43	224	147	94.5	96.4	99	25	670
1000100	HapCUT2	765	659	29	21	103	79	82.7	86.9	40	17	105.0
1000560	HapCUT2	4088	3709	52	33	110	78	96.0	97.3	48	7	2508.0
1000714	HapCUT2	68	58	0	0	23	19	66.2	72.1	7	5	1
1000512	HapCUT2	5465	4804	47	27	198	148	95.5	96.8	69	17	490
1000851	HapCUT2	5531	4847	66	39	177	129	95.6	97.0	92	19	703.5
1000226	HapCUT2	6224	5462	33	17	279	184	95.0	96.8	91	22	534
1000591	HapCUT2	4975	4353	61	30	249	156	93.8	96.3	103	25	474
1000834	HapCUT2	3861	3474	33	26	122	96	96.0	96.8	67	15	1833
1000176	HapCUT2	5543	4928	31	19	131	102	97.1	97.8	70	19	505.0
1000091	HapCUT2	3732	3318	28	21	134	111	95.7	96.5	83	21	534
