method               TinkerHap+SI  TinkerHap   WhatsHap    HapCUT2    ShapeIT
samples                   1040.00    1040.00    1040.00    1040.00    1040.00
sites                  5026392.00 5026392.00 5026392.00 5026392.00 5026392.00
Phased                      99.46      97.09      86.48      96.17      70.49
Phased-correctly            96.26      95.05      84.90      94.81      70.24
errors                  160759.00  102450.00   79347.00   68170.00   12550.00
missing                  27204.00  146319.00  679495.00  192461.00 1483308.00
haplotypes_size_med      21813.25     630.50      74.75     644.25  702123.00
common_errors                0.14       0.14       0.18       0.12       0.17
runtime                      6.80       6.50      23.80       9.20      13.60
memory_usage               109.00     106.00     397.00     594.00      24.00
