sample	HapCUT2-time	HapCUT2-mem	ShapeIT-time	ShapeIT-mem	TinkerHap+SI-time	TinkerHap+SI-mem	TinkerHap-time	TinkerHap-mem	WhatsHap-time	WhatsHap-mem
1000239	8.29	608284	12.54	24820	5.8	117900	5.67	114244	21.95	407848
1000569	13.54	609008	15	28656	8.84	142392	8.73	137472	36.6	409640
1000151	8.74	608572	12.72	24784	5.59	111180	6.08	107956	22.26	408756
1000513	9.45	608116	12.71	27732	6.15	117960	6.08	114252	25.46	406224
1000068	9.71	607024	12.08	24648	5.94	105484	5.74	102268	23.3	403288
1000804	11.56	608548	12.64	27352	8.22	132648	9.99	128480	33.66	408556
1000376	9.09	608884	14.8	28940	5.43	117564	5.29	114100	21.5	408648
1000624	9.44	609216	12.99	30640	5.96	122384	5.82	118600	26.97	409304
1000352	12.05	605936	11.43	21208	8.12	111044	10.41	107416	24.62	400464
1000702	8.77	608756	12.64	26952	4.17	95512	3.98	93392	15.88	408504
1000575	9.21	607500	14.29	24100	5.12	99264	4.94	97180	21.45	404984
1000440	10.77	606664	11.42	20128	7.51	99308	6.74	97528	24.23	402856
1000499	11.8	608608	12.43	25880	7.75	124888	7.63	120796	31.11	407704
1000161	11.94	607656	12.02	23320	8.32	129900	8.19	125764	32.83	405472
1001018	8.95	608500	12.5	25548	5.62	113296	5.57	109708	22.95	408532
1000870	10.03	607856	13.94	22244	5.41	104084	5.31	101536	20.56	406064
1000016	7	607644	12.51	24436	3.68	89504	3.59	87076	15.69	405308
1000691	10.5	606844	11.68	22776	6.09	104508	8.04	101184	25.52	401864
1000760	6.04	604812	10.71	15168	5.27	81924	5.14	79752	13.01	395104
1000802	10	608120	12.16	24016	4.85	104816	4.76	101912	20.67	407168
1000669	8.39	608844	14.58	27788	8.24	118396	5.77	114604	22.25	408760
1000910	9.71	606872	12.07	23560	5.38	99236	5.21	96924	22.44	402920
1000599	9	608668	12.63	27096	7.21	126856	7	122780	25.1	409376
1000564	9.24	608728	12.87	27304	7.93	123052	5.69	119324	23.98	410000
1000985	8.14	608036	14.39	25740	4.93	103164	4.78	100480	18.3	407196
1000092	10.92	607584	12.52	26204	8.55	127748	8.3	122884	30.59	405128
1000605	9.03	608580	12.54	26500	6.96	109160	4.76	106112	21.44	408296
