method               TinkerHap   WhatsHap    HapCUT2
samples                  44.00      44.00      44.00
sites               4557740.00 4557740.00 4557740.00
Phased                   99.41      96.80      96.73
Phased-correctly         97.54      95.47      95.37
errors                85139.00   60378.00   61872.00
missing               26806.00  146056.00  149245.00
haplotypes_size_med   79448.50   68302.50   72220.25
common_errors             0.47       0.47       0.55
runtime               10519.40   17578.40    5495.40
memory_usage           1726.00    1696.00     876.00
