sample	hapcut2-time	hapcut2-mem	tinkerhap-time	tinkerhap-mem	whatshap-time	whatshap-mem
HG002-chr1	415.17	897136	821.91	1715100	1410.65	1717984
HG002-chr10	286.05	652616	503.22	1126940	897.06	1164404
HG002-chr11	286.72	656188	486.91	1079568	825.53	1116024
HG002-chr12	279.34	648496	477.06	1079820	861.77	1132788
HG002-chr13	223.5	614276	374.51	839712	670.57	906304
HG002-chr14	185.03	588972	333.68	735400	608.5	822332
HG002-chr15	150.65	585632	291.09	664656	535.88	773800
HG002-chr16	187.38	576060	398.26	722180	597.06	789748
HG002-chr17	213.53	571592	279.98	605628	504.49	718484
HG002-chr18	151.82	582848	273.65	653724	505.3	732160
HG002-chr19	162.74	562092	189.89	466328	420.25	635420
HG002-chr2	517.27	837580	853.86	1767044	1433.33	1736516
HG002-chr20	169.25	565236	282.62	550032	441.7	645204
HG002-chr21	105.18	551000	231.89	423408	299.38	480568
HG002-chr22	92.76	549120	168.59	344580	277.51	455596
HG002-chr3	418.07	774472	796.17	1576868	1279.94	1569516
HG002-chr4	432.96	760628	745.77	1585892	1278.88	1572956
HG002-chr5	374.18	726512	681.08	1459160	1183.89	1453224
HG002-chr6	508.22	705112	687.76	1413416	1140.75	1435748
HG002-chr7	401.17	687016	592.7	1290360	1047.45	1332600
HG002-chr8	283.26	661512	539.11	1189548	995.39	1233128
HG002-chr9	254.34	645440	462.41	984488	814.73	1048324
HG005-chr1	426.58	884336	888.85	1657668	1396.59	1651700
HG005-chr10	252.33	641560	515.71	1050092	847.5	1082380
HG005-chr11	199.22	639756	453.32	959856	763.6	1017604
HG005-chr12	235.77	636580	472	994456	819.48	1039096
HG005-chr13	161.62	604068	335.02	722052	596.28	823696
HG005-chr14	140.81	588832	322.33	678860	569.29	776600
HG005-chr15	118.89	580084	341.59	643548	501.55	733240
HG005-chr16	165.46	572028	466.05	770088	587.02	776624
HG005-chr17	144.92	566700	335.79	597612	484.98	684104
HG005-chr18	121.26	568696	271.27	586528	492.52	704316
HG005-chr19	110.78	560736	235.9	491960	413.34	603628
HG005-chr2	435.97	836896	813.85	1707320	1458	1697616
HG005-chr20	133.66	560932	335.65	577052	443.95	637552
HG005-chr21	106.07	549640	274.49	417152	271.68	463088
HG005-chr22	77.33	549028	226.99	360928	258.37	448116
HG005-chr3	343.53	765444	699.42	1411700	1194.31	1461276
HG005-chr4	351.2	756700	797	1441488	1241.22	1474840
HG005-chr5	279.97	716628	610.01	1248092	1065.02	1305848
HG005-chr6	323.14	702996	632.53	1298660	1090.05	1322712
HG005-chr7	308.73	678764	580.54	1200320	1010.1	1243732
HG005-chr8	244.22	654632	491.36	1063988	875.04	1123412
HG005-chr9	210.85	636540	467.06	906836	746.85	981848
