sample	method	sites	sites_snp	errors	errors_snp	missing	missing_snp	success %	success % snp	haplotypes	haplotypes_single	haplotypes_size_med
HG002-chr1	HapCUT2	188076	156078	2631	1784	7579	5249	94.6	96.3	702	66	88258.0
HG002-chr2	HapCUT2	182342	151264	2218	1339	5136	3012	96.0	97.6	789	93	81089
HG002-chr3	HapCUT2	169821	142347	1844	1257	6646	4907	95.0	96.4	577	61	98782
HG002-chr4	HapCUT2	170058	142520	1826	1177	5475	3594	95.7	97.2	555	54	94010
HG002-chr5	HapCUT2	154435	129000	1774	1156	3535	2056	96.6	97.9	461	43	116407
HG002-chr6	HapCUT2	152181	127100	1629	1002	3294	1779	96.8	98.2	499	44	96435
HG002-chr7	HapCUT2	143016	119262	1830	1181	6100	4651	94.5	95.9	469	55	88643
HG002-chr8	HapCUT2	135065	114224	1637	1118	4363	3025	95.6	96.9	422	47	101952.5
HG002-chr9	HapCUT2	110304	93175	1719	1254	5569	4271	93.4	95.0	382	37	78503.5
HG002-chr10	HapCUT2	123727	103455	1589	1021	5159	3736	94.5	96.2	348	30	142907.0
HG002-chr11	HapCUT2	115388	97658	1350	822	10834	9472	89.4	91.1	427	39	93990
HG002-chr12	HapCUT2	121523	101321	1435	875	8390	7064	91.9	93.5	356	33	112723.0
HG002-chr13	HapCUT2	92701	77863	1073	741	5788	4694	92.6	94.1	283	21	93035
HG002-chr14	HapCUT2	77032	63754	1151	774	1400	568	96.7	98.3	255	24	104173
HG002-chr15	HapCUT2	73605	61582	1186	830	5033	3999	91.6	93.4	280	29	79031.5
HG002-chr16	HapCUT2	75729	63565	1021	650	4767	3885	92.4	94.0	232	16	100907.5
HG002-chr17	HapCUT2	68062	55471	1146	723	2240	1361	95.0	96.9	251	18	105062
HG002-chr18	HapCUT2	71877	61110	830	570	9483	8689	85.7	87.1	250	26	65937.0
HG002-chr19	HapCUT2	59742	48141	929	607	873	223	97.0	98.6	132	15	156210.0
HG002-chr20	HapCUT2	58058	49040	1147	848	3149	2586	92.6	94.1	207	22	99719
HG002-chr21	HapCUT2	35972	30172	1253	1005	1775	1340	91.6	93.5	122	4	112882.0
HG002-chr22	HapCUT2	36138	30244	1270	1011	884	487	94.0	95.9	115	10	87727
HG005-chr1	HapCUT2	165240	136209	2224	1464	3661	1441	96.4	98.2	1139	144	47647
HG005-chr2	HapCUT2	174178	144565	2167	1386	3449	1381	96.8	98.4	1175	176	47452
HG005-chr3	HapCUT2	152371	127149	1706	1102	2847	1035	97.0	98.6	939	132	43207
HG005-chr4	HapCUT2	159609	133318	1585	988	2734	981	97.3	98.8	820	118	50012.5
HG005-chr5	HapCUT2	132699	110234	1479	958	2509	1093	97.0	98.5	866	113	43986.5
HG005-chr6	HapCUT2	140978	117153	1383	825	2470	943	97.3	98.7	779	119	47507
HG005-chr7	HapCUT2	130739	108974	1710	1102	2242	873	97.0	98.5	693	101	56334
HG005-chr8	HapCUT2	113107	95170	1199	793	2105	911	97.1	98.5	700	105	46311.5
HG005-chr9	HapCUT2	92589	77544	1903	1395	2037	930	95.7	97.5	593	77	43063
HG005-chr10	HapCUT2	109542	90880	1470	948	2097	778	96.7	98.4	594	71	60651.5
HG005-chr11	HapCUT2	97965	81892	1042	615	1940	722	97.0	98.6	699	100	38977
HG005-chr12	HapCUT2	103856	85611	1099	665	2063	752	97.0	98.6	626	83	50605.0
HG005-chr13	HapCUT2	74367	61708	879	565	1995	991	96.1	97.9	504	70	44362.0
HG005-chr14	HapCUT2	72757	60125	1029	724	1341	501	96.7	98.3	426	62	46568.5
HG005-chr15	HapCUT2	62845	52338	1242	907	1421	633	95.8	97.5	428	46	49261.5
HG005-chr16	HapCUT2	70351	58533	910	580	1223	417	97.0	98.6	360	32	64877.5
HG005-chr17	HapCUT2	58966	47692	1111	733	1376	518	95.8	97.9	433	52	43904
HG005-chr18	HapCUT2	61958	51772	674	411	1259	535	96.9	98.5	368	48	53087.0
HG005-chr19	HapCUT2	52860	42412	899	577	839	256	96.7	98.4	220	20	98100.5
HG005-chr20	HapCUT2	51208	42693	1107	885	950	351	96.0	97.6	305	32	58380
HG005-chr21	HapCUT2	31928	26662	1422	1167	655	265	93.5	95.5	205	23	64372
HG005-chr22	HapCUT2	32775	27390	1144	905	560	221	94.8	96.6	186	18	48346.5
sample	method	sites	sites_snp	errors	errors_snp	missing	missing_snp	success %	success % snp	haplotypes	haplotypes_single	haplotypes_size_med
HG002-chr1	TinkerHap	188076	156078	4025	3157	944	650	97.4	98.0	656	61	92872.0
HG002-chr2	TinkerHap	182342	151264	2726	1877	957	654	98.0	98.6	727	72	84696
HG002-chr3	TinkerHap	169821	142347	3296	2650	719	498	97.6	98.1	545	57	110933
HG002-chr4	TinkerHap	170058	142520	2480	1837	711	505	98.1	98.6	532	46	97958.0
HG002-chr5	TinkerHap	154435	129000	2033	1414	646	463	98.3	98.8	437	39	114886
HG002-chr6	TinkerHap	152181	127100	1801	1193	636	443	98.4	98.9	471	46	100044
HG002-chr7	TinkerHap	143016	119262	3029	2381	636	446	97.4	98.0	459	53	80122
HG002-chr8	TinkerHap	135065	114224	2284	1788	555	411	97.9	98.4	404	36	115357.0
HG002-chr9	TinkerHap	110304	93175	3110	2545	585	425	96.7	97.3	380	35	83928.0
HG002-chr10	TinkerHap	123727	103455	2358	1793	518	335	97.7	98.3	343	31	146801
HG002-chr11	TinkerHap	115388	97658	5014	4477	503	348	95.2	95.8	374	33	114232.0
HG002-chr12	TinkerHap	121523	101321	3636	3039	449	306	96.6	97.2	325	34	122462
HG002-chr13	TinkerHap	92701	77863	2592	2252	387	265	96.8	97.3	266	21	98376.0
HG002-chr14	TinkerHap	77032	63754	1105	729	325	230	98.1	98.8	246	20	118073.0
HG002-chr15	TinkerHap	73605	61582	2074	1636	407	263	96.6	97.4	274	33	86227.0
HG002-chr16	TinkerHap	75729	63565	2197	1797	316	222	96.7	97.3	227	14	108632
HG002-chr17	TinkerHap	68062	55471	1447	996	356	226	97.4	98.2	249	21	105062
HG002-chr18	TinkerHap	71877	61110	3550	3255	345	263	94.6	95.1	246	25	78775.0
HG002-chr19	TinkerHap	59742	48141	1007	633	193	124	98.0	98.7	117	14	154022
HG002-chr20	TinkerHap	58058	49040	1788	1512	297	224	96.4	97.0	213	20	90708
HG002-chr21	TinkerHap	35972	30172	1543	1285	172	115	95.2	96.1	121	4	127652
HG002-chr22	TinkerHap	36138	30244	1353	1084	167	118	95.8	96.7	115	9	92853
HG005-chr1	TinkerHap	165240	136209	2370	1431	1392	957	97.7	98.6	1077	126	53579
HG005-chr2	TinkerHap	174178	144565	2214	1364	1439	1035	97.9	98.6	1123	153	49579
HG005-chr3	TinkerHap	152371	127149	1719	1030	1178	809	98.1	98.8	905	111	48337
HG005-chr4	TinkerHap	159609	133318	1567	911	1019	724	98.4	99.0	772	103	57448.5
HG005-chr5	TinkerHap	132699	110234	1534	934	1074	748	98.0	98.7	845	106	48458
HG005-chr6	TinkerHap	140978	117153	1331	726	962	660	98.4	99.0	740	107	49464.5
HG005-chr7	TinkerHap	130739	108974	1779	1099	853	618	98.0	98.7	653	96	60676
HG005-chr8	TinkerHap	113107	95170	1317	851	837	593	98.1	98.7	661	83	47906
HG005-chr9	TinkerHap	92589	77544	2059	1493	740	515	97.0	97.8	548	64	46981.5
HG005-chr10	TinkerHap	109542	90880	1503	944	765	540	97.9	98.6	576	69	65239.5
HG005-chr11	TinkerHap	97965	81892	1053	595	815	559	98.1	98.8	663	78	48463
HG005-chr12	TinkerHap	103856	85611	1137	631	755	515	98.2	98.9	592	69	58771.0
HG005-chr13	TinkerHap	74367	61708	939	593	632	447	97.9	98.6	478	63	48241.5
HG005-chr14	TinkerHap	72757	60125	1088	755	513	352	97.8	98.5	401	58	50070
HG005-chr15	TinkerHap	62845	52338	1399	952	512	350	97.0	97.9	397	44	50508
HG005-chr16	TinkerHap	70351	58533	999	627	423	277	98.0	98.7	331	32	72995
HG005-chr17	TinkerHap	58966	47692	1141	708	536	353	97.2	98.2	425	49	43426
HG005-chr18	TinkerHap	61958	51772	671	417	437	313	98.2	98.8	353	42	55684
HG005-chr19	TinkerHap	52860	42412	952	565	251	161	97.7	98.6	193	18	90789
HG005-chr20	TinkerHap	51208	42693	1302	1015	390	256	96.7	97.5	292	33	63362.0
