Sample	Sites	TinkerHap	WhatsHap	HapCUT2
HG002-chr1	180214	0.005304804288235098	0.0053880386651425525	0.006231480351138091
HG002-chr2	176979	0.0032489730419993333	0.0033111273088897554	0.004232140536447827
HG002-chr3	163001	0.0040306501187109284	0.0040981343672738205	0.005012239188716633
HG002-chr4	164412	0.0033878305719777144	0.0034851470695569666	0.004288008174585797
HG002-chr5	150705	0.003934839587273149	0.0038419428685179655	0.004744368136425467
HG002-chr6	148714	0.0026964509057654288	0.0025417916268811276	0.003711822693223234
HG002-chr7	136702	0.004469576158359059	0.004037980424573159	0.0052084095331450895
HG002-chr8	130532	0.00499494376857782	0.004711488370667729	0.005692090828302639
HG002-chr9	104540	0.008456093361392768	0.007078630189401186	0.008350870480198967
HG002-chr10	118392	0.0038938441786607204	0.0040289884451652136	0.005067909993918508
HG002-chr11	104398	0.0035249717427536928	0.0034962355600682005	0.004348742313071132
HG002-chr12	112987	0.0031242532326727856	0.003345517625921566	0.004354483259136007
HG002-chr13	86802	0.0048270777171032925	0.0048846800764959335	0.005979124904956107
HG002-chr14	75526	0.005587479808277944	0.004991658501708021	0.0066996795805418004
HG002-chr15	68437	0.007101421745546999	0.007203705597849117	0.008138872247468475
HG002-chr16	70871	0.004345924284968464	0.004670457591962862	0.005488845931340041
HG002-chr17	65684	0.005739601729492723	0.005572133244016808	0.006713963826807137
HG002-chr18	62305	0.004558221651552845	0.004686622261455742	0.00595457828424685
HG002-chr19	58765	0.006517484897472985	0.005768739896196716	0.00631328171530673
HG002-chr20	54813	0.011219966066444091	0.009997628299855874	0.011311185302756646
HG002-chr21	34087	0.024085428462463695	0.024026755067914456	0.023674714700619003
HG002-chr22	35164	0.023660561938346036	0.021044249800932772	0.022978045728586055
HG005-chr1	161347	0.0045801905210509026	0.004642168741904095	0.005559446410531339
HG005-chr2	170514	0.004316361119908043	0.004204933319258242	0.004996657165980506
HG005-chr3	149346	0.0037563778072395647	0.003783161249715426	0.004486226614706788
HG005-chr4	156731	0.002896682851509912	0.002941345362436276	0.0036687062546656374
HG005-chr5	130026	0.003914601695045606	0.004168397089812806	0.004714441727039207
HG005-chr6	138360	0.0022188493784330732	0.002536860364267129	0.0031367447239086443
HG005-chr7	128331	0.0048234643227279455	0.004426054499692202	0.005267628242591423
HG005-chr8	110878	0.004247912119626977	0.003670701130972781	0.004590631144140407
HG005-chr9	90408	0.011304309353154587	0.0111273338642598	0.01172462613927971
HG005-chr10	107307	0.004948419022058207	0.0049390999655194905	0.005861686562852377
HG005-chr11	95916	0.0028149630927061177	0.0028358146711706077	0.003346678343550607
HG005-chr12	101649	0.0027939281252152013	0.003059548052612421	0.0036104634575844325
HG005-chr13	72291	0.003610407934597668	0.004108395235921484	0.0049660400326458345
HG005-chr14	71310	0.006675080633852195	0.005833683915299397	0.0068714065348478475
HG005-chr15	61322	0.009653957796549362	0.009229966406836045	0.010518247937118816
HG005-chr16	69037	0.005171140113272593	0.004866955400727146	0.00491041035966221
HG005-chr17	57485	0.007619378968426546	0.00767156649560755	0.008436983560928937
HG005-chr18	60627	0.0034638032559750607	0.003645240569383278	0.003925643690105069
HG005-chr19	51923	0.00624000924445814	0.0060666756543343026	0.007048899331702714
HG005-chr20	50166	0.015827452856516367	0.011960291831120679	0.014172945819878005
HG005-chr21	31192	0.03225185945114132	0.03003975378302129	0.031322133880482175
HG005-chr22	32106	0.021740484644614713	0.022269980688967794	0.022519155298075126
